"","equipo","modelo","modelado","semilla","gota1","gota2","gota3","lerner","epocas","exactitud","precision","precision_secundaria","f1","recall"
"1","NYJ","modelo_3","profunda",4170,0.2,0.4,0.2,0.02,20,0.700934579439252,0.764705882352941,0.58974358974359,0.764705882352941,0.764705882352941
"2","NYJ","modelo_3","profunda",3951,0.2,0.4,0.2,0.02,20,0.738317757009346,0.794117647058823,0.641025641025641,0.794117647058823,0.794117647058823
"3","NYJ","modelo_3","profunda",5491,0.2,0.4,0.2,0.02,20,0.700934579439252,0.764705882352941,0.58974358974359,0.764705882352941,0.764705882352941
"4","NYJ","modelo_3","profunda",1762,0.2,0.4,0.2,0.02,20,0.682242990654206,0.75,0.564102564102564,0.75,0.75
"5","NYJ","modelo_3","profunda",3409,0.2,0.4,0.2,0.02,20,0.682242990654206,0.75,0.564102564102564,0.75,0.75
"6","NYJ","modelo_3","profunda",3980,0.2,0.4,0.2,0.02,20,0.700934579439252,0.764705882352941,0.58974358974359,0.764705882352941,0.764705882352941
"7","NYJ","modelo_3","profunda",1383,0.2,0.4,0.2,0.02,20,0.700934579439252,0.764705882352941,0.58974358974359,0.764705882352941,0.764705882352941
"8","NYJ","modelo_3","profunda",768,0.2,0.4,0.2,0.02,20,0.663551401869159,0.735294117647059,0.538461538461538,0.735294117647059,0.735294117647059
"9","NYJ","modelo_3","profunda",1058,0.2,0.4,0.2,0.02,20,0.719626168224299,0.779411764705882,0.615384615384615,0.779411764705882,0.779411764705882
"10","NYJ","modelo_3","profunda",8585,0.2,0.4,0.2,0.02,20,0.719626168224299,0.779411764705882,0.615384615384615,0.779411764705882,0.779411764705882
"11","NYJ","modelo_3","profunda",564,0.2,0.4,0.2,0.02,20,0.738317757009346,0.794117647058823,0.641025641025641,0.794117647058823,0.794117647058823
"12","NYJ","modelo_3","profunda",2478,0.2,0.4,0.2,0.02,20,0.719626168224299,0.779411764705882,0.615384615384615,0.779411764705882,0.779411764705882
"13","NYJ","modelo_3","profunda",9481,0.2,0.4,0.2,0.02,20,0.682242990654206,0.75,0.564102564102564,0.75,0.75
"14","NYJ","modelo_3","profunda",5701,0.2,0.4,0.2,0.02,20,0.644859813084112,0.720588235294118,0.512820512820513,0.720588235294118,0.720588235294118
"15","NYJ","modelo_3","profunda",8455,0.2,0.4,0.2,0.02,20,0.700934579439252,0.764705882352941,0.58974358974359,0.764705882352941,0.764705882352941
"16","NYJ","modelo_3","profunda",6401,0.2,0.4,0.2,0.02,20,0.663551401869159,0.735294117647059,0.538461538461538,0.735294117647059,0.735294117647059
"17","NYJ","modelo_3","profunda",3291,0.2,0.4,0.2,0.02,20,0.738317757009346,0.794117647058823,0.641025641025641,0.794117647058823,0.794117647058823
"18","NYJ","modelo_3","profunda",9579,0.2,0.4,0.2,0.02,20,0.700934579439252,0.764705882352941,0.58974358974359,0.764705882352941,0.764705882352941
"19","NYJ","modelo_3","profunda",1438,0.2,0.4,0.2,0.02,20,0.682242990654206,0.75,0.564102564102564,0.75,0.75
"20","NYJ","modelo_3","profunda",3142,0.2,0.4,0.2,0.02,20,0.682242990654206,0.75,0.564102564102564,0.75,0.75
