"","equipo","modelo","modelado","semilla","gota1","gota2","gota3","lerner","epocas","exactitud","precision","precision_secundaria","f1","recall"
"1","LA","modelo_3","no_profunda",4170,0.2,0.4,NA,0.01,10,0.706521739130435,0.770491803278688,0.580645161290323,0.776859504132231,0.783333333333333
"2","LA","modelo_3","no_profunda",3951,0.2,0.4,NA,0.01,10,0.728260869565217,0.786885245901639,0.612903225806452,0.793388429752066,0.8
"3","LA","modelo_3","no_profunda",5491,0.2,0.4,NA,0.01,10,0.75,0.80327868852459,0.645161290322581,0.809917355371901,0.816666666666667
"4","LA","modelo_3","no_profunda",1762,0.2,0.4,NA,0.01,10,0.706521739130435,0.770491803278688,0.580645161290323,0.776859504132231,0.783333333333333
"5","LA","modelo_3","no_profunda",3409,0.2,0.4,NA,0.01,10,0.706521739130435,0.770491803278688,0.580645161290323,0.776859504132231,0.783333333333333
"6","LA","modelo_3","no_profunda",3980,0.2,0.4,NA,0.01,10,0.706521739130435,0.770491803278688,0.580645161290323,0.776859504132231,0.783333333333333
"7","LA","modelo_3","no_profunda",1383,0.2,0.4,NA,0.01,10,0.706521739130435,0.770491803278688,0.580645161290323,0.776859504132231,0.783333333333333
"8","LA","modelo_3","no_profunda",768,0.2,0.4,NA,0.01,10,0.684782608695652,0.754098360655738,0.548387096774194,0.760330578512397,0.766666666666667
"9","LA","modelo_3","no_profunda",1058,0.2,0.4,NA,0.01,10,0.684782608695652,0.754098360655738,0.548387096774194,0.760330578512397,0.766666666666667
"10","LA","modelo_3","no_profunda",8585,0.2,0.4,NA,0.01,10,0.728260869565217,0.786885245901639,0.612903225806452,0.793388429752066,0.8
"11","LA","modelo_3","no_profunda",564,0.2,0.4,NA,0.01,10,0.728260869565217,0.786885245901639,0.612903225806452,0.793388429752066,0.8
"12","LA","modelo_3","no_profunda",2478,0.2,0.4,NA,0.01,10,0.684782608695652,0.754098360655738,0.548387096774194,0.760330578512397,0.766666666666667
"13","LA","modelo_3","no_profunda",9481,0.2,0.4,NA,0.01,10,0.706521739130435,0.770491803278688,0.580645161290323,0.776859504132231,0.783333333333333
"14","LA","modelo_3","no_profunda",5701,0.2,0.4,NA,0.01,10,0.706521739130435,0.770491803278688,0.580645161290323,0.776859504132231,0.783333333333333
"15","LA","modelo_3","no_profunda",8455,0.2,0.4,NA,0.01,10,0.706521739130435,0.770491803278688,0.580645161290323,0.776859504132231,0.783333333333333
"16","LA","modelo_3","no_profunda",6401,0.2,0.4,NA,0.01,10,0.706521739130435,0.770491803278688,0.580645161290323,0.776859504132231,0.783333333333333
"17","LA","modelo_3","no_profunda",3291,0.2,0.4,NA,0.01,10,0.728260869565217,0.786885245901639,0.612903225806452,0.793388429752066,0.8
"18","LA","modelo_3","no_profunda",9579,0.2,0.4,NA,0.01,10,0.641304347826087,0.721311475409836,0.483870967741935,0.727272727272727,0.733333333333333
"19","LA","modelo_3","no_profunda",1438,0.2,0.4,NA,0.01,10,0.728260869565217,0.786885245901639,0.612903225806452,0.793388429752066,0.8
"20","LA","modelo_3","no_profunda",3142,0.2,0.4,NA,0.01,10,0.75,0.80327868852459,0.645161290322581,0.809917355371901,0.816666666666667
