"equipo","modelo","optimizacion","semilla","learning_rate","feature_fraction","num_leaves","min_data_in_leaf","max_depth","auc","promedio","exactitud","precision","precision_secundaria","promedio.1","f1","recall"
"BAL","modelo_4","grid",4170,0.2,0.9,15,20,3,"NA",0.688292002492152,0.742574257425743,0.767857142857143,0.711111111111111,0.740514170464666,0.767857142857143,0.767857142857143
"BAL","modelo_4","grid",3951,0.2,0.9,15,20,3,"NA",0.688292002492152,0.742574257425743,0.767857142857143,0.711111111111111,0.740514170464666,0.767857142857143,0.767857142857143
"BAL","modelo_4","grid",5491,0.2,0.9,15,20,3,"NA",0.688292002492152,0.702970297029703,0.732142857142857,0.666666666666667,0.700593273613075,0.732142857142857,0.732142857142857
"BAL","modelo_4","grid",1762,0.2,0.9,15,20,3,"NA",0.688292002492152,0.742574257425743,0.767857142857143,0.711111111111111,0.740514170464666,0.767857142857143,0.767857142857143
"BAL","modelo_4","grid",3409,0.2,0.9,15,20,3,"NA",0.688292002492152,0.702970297029703,0.732142857142857,0.666666666666667,0.700593273613075,0.732142857142857,0.732142857142857
"BAL","modelo_4","grid",3980,0.2,0.9,15,20,3,"NA",0.688292002492152,0.742574257425743,0.767857142857143,0.711111111111111,0.740514170464666,0.767857142857143,0.767857142857143
"BAL","modelo_4","grid",1383,0.2,0.9,15,20,3,"NA",0.688292002492152,0.742574257425743,0.767857142857143,0.711111111111111,0.740514170464666,0.767857142857143,0.767857142857143
"BAL","modelo_4","grid",768,0.2,0.9,15,20,3,"NA",0.688292002492152,0.722772277227723,0.75,0.688888888888889,0.720553722038871,0.75,0.75
"BAL","modelo_4","grid",1058,0.2,0.9,15,20,3,"NA",0.688292002492152,0.722772277227723,0.75,0.688888888888889,0.720553722038871,0.75,0.75
"BAL","modelo_4","grid",8585,0.2,0.9,15,20,3,"NA",0.688292002492152,0.722772277227723,0.75,0.688888888888889,0.720553722038871,0.75,0.75
"BAL","modelo_4","grid",564,0.2,0.9,15,20,3,"NA",0.688292002492152,0.722772277227723,0.75,0.688888888888889,0.720553722038871,0.75,0.75
"BAL","modelo_4","grid",2478,0.2,0.9,15,20,3,"NA",0.688292002492152,0.722772277227723,0.75,0.688888888888889,0.720553722038871,0.75,0.75
"BAL","modelo_4","grid",9481,0.2,0.9,15,20,3,"NA",0.688292002492152,0.702970297029703,0.732142857142857,0.666666666666667,0.700593273613075,0.732142857142857,0.732142857142857
"BAL","modelo_4","grid",5701,0.2,0.9,15,20,3,"NA",0.688292002492152,0.742574257425743,0.767857142857143,0.711111111111111,0.740514170464666,0.767857142857143,0.767857142857143
"BAL","modelo_4","grid",8455,0.2,0.9,15,20,3,"NA",0.688292002492152,0.722772277227723,0.75,0.688888888888889,0.720553722038871,0.75,0.75
"BAL","modelo_4","grid",6401,0.2,0.9,15,20,3,"NA",0.688292002492152,0.722772277227723,0.75,0.688888888888889,0.720553722038871,0.75,0.75
"BAL","modelo_4","grid",3291,0.2,0.9,15,20,3,"NA",0.688292002492152,0.742574257425743,0.767857142857143,0.711111111111111,0.740514170464666,0.767857142857143,0.767857142857143
"BAL","modelo_4","grid",9579,0.2,0.9,15,20,3,"NA",0.688292002492152,0.702970297029703,0.732142857142857,0.666666666666667,0.700593273613075,0.732142857142857,0.732142857142857
"BAL","modelo_4","grid",1438,0.2,0.9,15,20,3,"NA",0.688292002492152,0.742574257425743,0.767857142857143,0.711111111111111,0.740514170464666,0.767857142857143,0.767857142857143
"BAL","modelo_4","grid",3142,0.2,0.9,15,20,3,"NA",0.688292002492152,0.722772277227723,0.75,0.688888888888889,0.720553722038871,0.75,0.75
