"equipo","modelo","optimizacion","semilla","learning_rate","feature_fraction","num_leaves","min_data_in_leaf","max_depth","auc","promedio","exactitud","precision","precision_secundaria","promedio.1","f1","recall"
"LA","modelo_1","grid",4170,0.01,0.9,15,10,3,"NA",0.633030464083228,0.604395604395604,0.704918032786885,0.4,0.569771212394163,0.704918032786885,0.704918032786885
"LA","modelo_1","grid",3951,0.01,0.9,15,10,3,"NA",0.633030464083228,0.604395604395604,0.704918032786885,0.4,0.569771212394163,0.704918032786885,0.704918032786885
"LA","modelo_1","grid",5491,0.01,0.9,15,10,3,"NA",0.633030464083228,0.604395604395604,0.704918032786885,0.4,0.569771212394163,0.704918032786885,0.704918032786885
"LA","modelo_1","grid",1762,0.01,0.9,15,10,3,"NA",0.633030464083228,0.604395604395604,0.704918032786885,0.4,0.569771212394163,0.704918032786885,0.704918032786885
"LA","modelo_1","grid",3409,0.01,0.9,15,10,3,"NA",0.633030464083228,0.604395604395604,0.704918032786885,0.4,0.569771212394163,0.704918032786885,0.704918032786885
"LA","modelo_1","grid",3980,0.01,0.9,15,10,3,"NA",0.633030464083228,0.604395604395604,0.704918032786885,0.4,0.569771212394163,0.704918032786885,0.704918032786885
"LA","modelo_1","grid",1383,0.01,0.9,15,10,3,"NA",0.633030464083228,0.604395604395604,0.704918032786885,0.4,0.569771212394163,0.704918032786885,0.704918032786885
"LA","modelo_1","grid",768,0.01,0.9,15,10,3,"NA",0.633030464083228,0.604395604395604,0.704918032786885,0.4,0.569771212394163,0.704918032786885,0.704918032786885
"LA","modelo_1","grid",1058,0.01,0.9,15,10,3,"NA",0.633030464083228,0.604395604395604,0.704918032786885,0.4,0.569771212394163,0.704918032786885,0.704918032786885
"LA","modelo_1","grid",8585,0.01,0.9,15,10,3,"NA",0.633030464083228,0.604395604395604,0.704918032786885,0.4,0.569771212394163,0.704918032786885,0.704918032786885
"LA","modelo_1","grid",564,0.01,0.9,15,10,3,"NA",0.633030464083228,0.604395604395604,0.704918032786885,0.4,0.569771212394163,0.704918032786885,0.704918032786885
"LA","modelo_1","grid",2478,0.01,0.9,15,10,3,"NA",0.633030464083228,0.604395604395604,0.704918032786885,0.4,0.569771212394163,0.704918032786885,0.704918032786885
"LA","modelo_1","grid",9481,0.01,0.9,15,10,3,"NA",0.633030464083228,0.604395604395604,0.704918032786885,0.4,0.569771212394163,0.704918032786885,0.704918032786885
"LA","modelo_1","grid",5701,0.01,0.9,15,10,3,"NA",0.633030464083228,0.604395604395604,0.704918032786885,0.4,0.569771212394163,0.704918032786885,0.704918032786885
"LA","modelo_1","grid",8455,0.01,0.9,15,10,3,"NA",0.633030464083228,0.604395604395604,0.704918032786885,0.4,0.569771212394163,0.704918032786885,0.704918032786885
"LA","modelo_1","grid",6401,0.01,0.9,15,10,3,"NA",0.633030464083228,0.604395604395604,0.704918032786885,0.4,0.569771212394163,0.704918032786885,0.704918032786885
"LA","modelo_1","grid",3291,0.01,0.9,15,10,3,"NA",0.633030464083228,0.604395604395604,0.704918032786885,0.4,0.569771212394163,0.704918032786885,0.704918032786885
"LA","modelo_1","grid",9579,0.01,0.9,15,10,3,"NA",0.633030464083228,0.604395604395604,0.704918032786885,0.4,0.569771212394163,0.704918032786885,0.704918032786885
"LA","modelo_1","grid",1438,0.01,0.9,15,10,3,"NA",0.633030464083228,0.604395604395604,0.704918032786885,0.4,0.569771212394163,0.704918032786885,0.704918032786885
"LA","modelo_1","grid",3142,0.01,0.9,15,10,3,"NA",0.633030464083228,0.604395604395604,0.704918032786885,0.4,0.569771212394163,0.704918032786885,0.704918032786885
