"equipo","modelo","optimizacion","semilla","learning_rate","feature_fraction","num_leaves","min_data_in_leaf","max_depth","auc","promedio","exactitud","precision","precision_secundaria","promedio.1","f1","recall"
"SEA","modelo_4","grid",4170,0.03,0.6,15,15,7,"NA",0.654203032012311,0.577777777777778,0.654545454545455,0.457142857142857,0.563155363155363,0.654545454545455,0.654545454545455
"SEA","modelo_4","grid",3951,0.03,0.6,15,15,7,"NA",0.654203032012311,0.577777777777778,0.654545454545455,0.457142857142857,0.563155363155363,0.654545454545455,0.654545454545455
"SEA","modelo_4","grid",5491,0.03,0.6,15,15,7,"NA",0.654203032012311,0.6,0.672727272727273,0.485714285714286,0.586147186147186,0.672727272727273,0.672727272727273
"SEA","modelo_4","grid",1762,0.03,0.6,15,15,7,"NA",0.654203032012311,0.622222222222222,0.690909090909091,0.514285714285714,0.609139009139009,0.690909090909091,0.690909090909091
"SEA","modelo_4","grid",3409,0.03,0.6,15,15,7,"NA",0.654203032012311,0.644444444444444,0.709090909090909,0.542857142857143,0.632130832130832,0.709090909090909,0.709090909090909
"SEA","modelo_4","grid",3980,0.03,0.6,15,15,7,"NA",0.654203032012311,0.622222222222222,0.690909090909091,0.514285714285714,0.609139009139009,0.690909090909091,0.690909090909091
"SEA","modelo_4","grid",1383,0.03,0.6,15,15,7,"NA",0.654203032012311,0.6,0.672727272727273,0.485714285714286,0.586147186147186,0.672727272727273,0.672727272727273
"SEA","modelo_4","grid",768,0.03,0.6,15,15,7,"NA",0.654203032012311,0.622222222222222,0.690909090909091,0.514285714285714,0.609139009139009,0.690909090909091,0.690909090909091
"SEA","modelo_4","grid",1058,0.03,0.6,15,15,7,"NA",0.654203032012311,0.622222222222222,0.690909090909091,0.514285714285714,0.609139009139009,0.690909090909091,0.690909090909091
"SEA","modelo_4","grid",8585,0.03,0.6,15,15,7,"NA",0.654203032012311,0.6,0.672727272727273,0.485714285714286,0.586147186147186,0.672727272727273,0.672727272727273
"SEA","modelo_4","grid",564,0.03,0.6,15,15,7,"NA",0.654203032012311,0.622222222222222,0.690909090909091,0.514285714285714,0.609139009139009,0.690909090909091,0.690909090909091
"SEA","modelo_4","grid",2478,0.03,0.6,15,15,7,"NA",0.654203032012311,0.622222222222222,0.690909090909091,0.514285714285714,0.609139009139009,0.690909090909091,0.690909090909091
"SEA","modelo_4","grid",9481,0.03,0.6,15,15,7,"NA",0.654203032012311,0.644444444444444,0.709090909090909,0.542857142857143,0.632130832130832,0.709090909090909,0.709090909090909
"SEA","modelo_4","grid",5701,0.03,0.6,15,15,7,"NA",0.654203032012311,0.6,0.672727272727273,0.485714285714286,0.586147186147186,0.672727272727273,0.672727272727273
"SEA","modelo_4","grid",8455,0.03,0.6,15,15,7,"NA",0.654203032012311,0.644444444444444,0.709090909090909,0.542857142857143,0.632130832130832,0.709090909090909,0.709090909090909
"SEA","modelo_4","grid",6401,0.03,0.6,15,15,7,"NA",0.654203032012311,0.6,0.672727272727273,0.485714285714286,0.586147186147186,0.672727272727273,0.672727272727273
"SEA","modelo_4","grid",3291,0.03,0.6,15,15,7,"NA",0.654203032012311,0.622222222222222,0.690909090909091,0.514285714285714,0.609139009139009,0.690909090909091,0.690909090909091
"SEA","modelo_4","grid",9579,0.03,0.6,15,15,7,"NA",0.654203032012311,0.622222222222222,0.690909090909091,0.514285714285714,0.609139009139009,0.690909090909091,0.690909090909091
"SEA","modelo_4","grid",1438,0.03,0.6,15,15,7,"NA",0.654203032012311,0.577777777777778,0.654545454545455,0.457142857142857,0.563155363155363,0.654545454545455,0.654545454545455
"SEA","modelo_4","grid",3142,0.03,0.6,15,15,7,"NA",0.654203032012311,0.6,0.672727272727273,0.485714285714286,0.586147186147186,0.672727272727273,0.672727272727273
