"","gota1","gota2","lr","epocas","exactitud","precision","precision_secundaria","promedio"
"1",0.2,0.2,0.01,10,0.629139072847682,0.71,0.470588235294118,0.603242436047267
"2",0.2,0.2,0.01,20,0.642384105960265,0.72,0.490196078431373,0.617526728130546
"3",0.2,0.2,0.01,40,0.589403973509934,0.68,0.411764705882353,0.560389559797429
"4",0.2,0.2,0.01,60,0.602649006622517,0.69,0.431372549019608,0.574673851880708
"5",0.2,0.2,0.01,10,0.653333333333333,0.797979797979798,0.372549019607843,0.607954050306991
"6",0.2,0.2,0.01,20,0.666666666666667,0.808080808080808,0.392156862745098,0.622301445830858
"7",0.2,0.2,0.01,40,0.693333333333333,0.828282828282828,0.431372549019608,0.65099623687859
"8",0.2,0.2,0.01,60,0.626666666666667,0.777777777777778,0.333333333333333,0.579259259259259
"9",0.2,0.2,0.01,10,0.54,0.595959595959596,0.431372549019608,0.522444048326401
"10",0.2,0.2,0.01,20,0.58,0.626262626262626,0.490196078431373,0.565486234898
"11",0.2,0.2,0.01,40,0.593333333333333,0.636363636363636,0.509803921568627,0.579833630421866
"12",0.2,0.2,0.01,60,0.526666666666667,0.585858585858586,0.411764705882353,0.508096652802535
"13",0.2,0.2,0.02,10,0.589403973509934,0.68,0.411764705882353,0.560389559797429
"14",0.2,0.2,0.02,20,0.602649006622517,0.69,0.431372549019608,0.574673851880708
"15",0.2,0.2,0.02,40,0.642384105960265,0.72,0.490196078431373,0.617526728130546
"16",0.2,0.2,0.02,60,0.602649006622517,0.69,0.431372549019608,0.574673851880708
"17",0.2,0.2,0.02,10,0.653333333333333,0.797979797979798,0.372549019607843,0.607954050306991
"18",0.2,0.2,0.02,20,0.693333333333333,0.828282828282828,0.431372549019608,0.65099623687859
"19",0.2,0.2,0.02,40,0.693333333333333,0.828282828282828,0.431372549019608,0.65099623687859
"20",0.2,0.2,0.02,60,0.626666666666667,0.777777777777778,0.333333333333333,0.579259259259259
"21",0.2,0.2,0.02,10,0.58,0.626262626262626,0.490196078431373,0.565486234898
"22",0.2,0.2,0.02,20,0.62,0.656565656565657,0.549019607843137,0.608528421469598
"23",0.2,0.2,0.02,40,0.62,0.656565656565657,0.549019607843137,0.608528421469598
"24",0.2,0.2,0.02,60,0.553333333333333,0.606060606060606,0.450980392156863,0.536791443850267
"25",0.2,0.2,0.03,10,0.576158940397351,0.67,0.392156862745098,0.54610526771415
"26",0.2,0.2,0.03,20,0.602649006622517,0.69,0.431372549019608,0.574673851880708
"27",0.2,0.2,0.03,40,0.642384105960265,0.72,0.490196078431373,0.617526728130546
"28",0.2,0.2,0.03,60,0.602649006622517,0.69,0.431372549019608,0.574673851880708
"29",0.2,0.2,0.03,10,0.666666666666667,0.808080808080808,0.392156862745098,0.622301445830858
"30",0.2,0.2,0.03,20,0.693333333333333,0.828282828282828,0.431372549019608,0.65099623687859
"31",0.2,0.2,0.03,40,0.613333333333333,0.767676767676768,0.313725490196078,0.564911863735393
"32",0.2,0.2,0.03,60,0.666666666666667,0.808080808080808,0.392156862745098,0.622301445830858
"33",0.2,0.2,0.03,10,0.593333333333333,0.636363636363636,0.509803921568627,0.579833630421866
"34",0.2,0.2,0.03,20,0.606666666666667,0.646464646464647,0.529411764705882,0.594181025945732
"35",0.2,0.2,0.03,40,0.566666666666667,0.616161616161616,0.470588235294118,0.551138839374134
"36",0.2,0.2,0.03,60,0.593333333333333,0.636363636363636,0.509803921568627,0.579833630421866
"37",0.2,0.2,0.05,10,0.589403973509934,0.68,0.411764705882353,0.560389559797429
"38",0.2,0.2,0.05,20,0.642384105960265,0.72,0.490196078431373,0.617526728130546
"39",0.2,0.2,0.05,40,0.66887417218543,0.74,0.529411764705882,0.646095312297104
"40",0.2,0.2,0.05,60,0.655629139072848,0.73,0.509803921568627,0.631811020213825
"41",0.2,0.2,0.05,10,0.693333333333333,0.828282828282828,0.431372549019608,0.65099623687859
"42",0.2,0.2,0.05,20,0.72,0.848484848484849,0.470588235294118,0.679691027926322
"43",0.2,0.2,0.05,40,0.64,0.787878787878788,0.352941176470588,0.593606654783125
"44",0.2,0.2,0.05,60,0.613333333333333,0.767676767676768,0.313725490196078,0.564911863735393
"45",0.2,0.2,0.05,10,0.58,0.626262626262626,0.490196078431373,0.565486234898
"46",0.2,0.2,0.05,20,0.633333333333333,0.666666666666667,0.568627450980392,0.622875816993464
"47",0.2,0.2,0.05,40,0.606666666666667,0.646464646464647,0.529411764705882,0.594181025945732
"48",0.2,0.2,0.05,60,0.593333333333333,0.636363636363636,0.509803921568627,0.579833630421866
"49",0.2,0.2,0.06,10,0.602649006622517,0.69,0.431372549019608,0.574673851880708
"50",0.2,0.2,0.06,20,0.615894039735099,0.7,0.450980392156863,0.588958143963987
"51",0.2,0.2,0.06,40,0.629139072847682,0.71,0.470588235294118,0.603242436047267
"52",0.2,0.2,0.06,60,0.642384105960265,0.72,0.490196078431373,0.617526728130546
"53",0.2,0.2,0.06,10,0.64,0.787878787878788,0.352941176470588,0.593606654783125
"54",0.2,0.2,0.06,20,0.706666666666667,0.838383838383838,0.450980392156863,0.665343632402456
"55",0.2,0.2,0.06,40,0.706666666666667,0.838383838383838,0.450980392156863,0.665343632402456
"56",0.2,0.2,0.06,60,0.6,0.757575757575758,0.294117647058824,0.550564468211527
"57",0.2,0.2,0.06,10,0.593333333333333,0.636363636363636,0.509803921568627,0.579833630421866
"58",0.2,0.2,0.06,20,0.593333333333333,0.636363636363636,0.509803921568627,0.579833630421866
"59",0.2,0.2,0.06,40,0.58,0.626262626262626,0.490196078431373,0.565486234898
"60",0.2,0.2,0.06,60,0.54,0.595959595959596,0.431372549019608,0.522444048326401
"61",0.2,0.2,0.1,10,0.483443708609272,0.6,0.254901960784314,0.446115223131195
"62",0.2,0.2,0.1,20,0.536423841059603,0.64,0.333333333333333,0.503252391464312
"63",0.2,0.2,0.1,40,0.549668874172185,0.65,0.352941176470588,0.517536683547591
"64",0.2,0.2,0.1,60,0.536423841059603,0.64,0.333333333333333,0.503252391464312
"65",0.2,0.2,0.1,10,0.68,0.818181818181818,0.411764705882353,0.636648841354724
"66",0.2,0.2,0.1,20,0.653333333333333,0.797979797979798,0.372549019607843,0.607954050306991
"67",0.2,0.2,0.1,40,0.68,0.818181818181818,0.411764705882353,0.636648841354724
"68",0.2,0.2,0.1,60,0.666666666666667,0.808080808080808,0.392156862745098,0.622301445830858
"69",0.2,0.2,0.1,10,0.54,0.595959595959596,0.431372549019608,0.522444048326401
"70",0.2,0.2,0.1,20,0.513333333333333,0.575757575757576,0.392156862745098,0.493749257278669
"71",0.2,0.2,0.1,40,0.446666666666667,0.525252525252525,0.294117647058824,0.422012279659338
"72",0.2,0.2,0.1,60,0.58,0.626262626262626,0.490196078431373,0.565486234898
"73",0.2,0.3,0.01,10,0.576158940397351,0.67,0.392156862745098,0.54610526771415
"74",0.2,0.3,0.01,20,0.629139072847682,0.71,0.470588235294118,0.603242436047267
"75",0.2,0.3,0.01,40,0.642384105960265,0.72,0.490196078431373,0.617526728130546
"76",0.2,0.3,0.01,60,0.602649006622517,0.69,0.431372549019608,0.574673851880708
"77",0.2,0.3,0.01,10,0.653333333333333,0.797979797979798,0.372549019607843,0.607954050306991
"78",0.2,0.3,0.01,20,0.68,0.818181818181818,0.411764705882353,0.636648841354724
"79",0.2,0.3,0.01,40,0.68,0.818181818181818,0.411764705882353,0.636648841354724
"80",0.2,0.3,0.01,60,0.626666666666667,0.777777777777778,0.333333333333333,0.579259259259259
"81",0.2,0.3,0.01,10,0.566666666666667,0.616161616161616,0.470588235294118,0.551138839374134
"82",0.2,0.3,0.01,20,0.58,0.626262626262626,0.490196078431373,0.565486234898
"83",0.2,0.3,0.01,40,0.606666666666667,0.646464646464647,0.529411764705882,0.594181025945732
"84",0.2,0.3,0.01,60,0.553333333333333,0.606060606060606,0.450980392156863,0.536791443850267
"85",0.2,0.3,0.02,10,0.576158940397351,0.67,0.392156862745098,0.54610526771415
"86",0.2,0.3,0.02,20,0.602649006622517,0.69,0.431372549019608,0.574673851880708
"87",0.2,0.3,0.02,40,0.682119205298013,0.75,0.549019607843137,0.660379604380384
"88",0.2,0.3,0.02,60,0.562913907284768,0.66,0.372549019607843,0.53182097563087
"89",0.2,0.3,0.02,10,0.666666666666667,0.808080808080808,0.392156862745098,0.622301445830858
"90",0.2,0.3,0.02,20,0.706666666666667,0.838383838383838,0.450980392156863,0.665343632402456
"91",0.2,0.3,0.02,40,0.693333333333333,0.828282828282828,0.431372549019608,0.65099623687859
"92",0.2,0.3,0.02,60,0.626666666666667,0.777777777777778,0.333333333333333,0.579259259259259
"93",0.2,0.3,0.02,10,0.58,0.626262626262626,0.490196078431373,0.565486234898
"94",0.2,0.3,0.02,20,0.593333333333333,0.636363636363636,0.509803921568627,0.579833630421866
"95",0.2,0.3,0.02,40,0.593333333333333,0.636363636363636,0.509803921568627,0.579833630421866
"96",0.2,0.3,0.02,60,0.566666666666667,0.616161616161616,0.470588235294118,0.551138839374134
"97",0.2,0.3,0.03,10,0.589403973509934,0.68,0.411764705882353,0.560389559797429
"98",0.2,0.3,0.03,20,0.642384105960265,0.72,0.490196078431373,0.617526728130546
"99",0.2,0.3,0.03,40,0.655629139072848,0.73,0.509803921568627,0.631811020213825
"100",0.2,0.3,0.03,60,0.655629139072848,0.73,0.509803921568627,0.631811020213825
"101",0.2,0.3,0.03,10,0.666666666666667,0.808080808080808,0.392156862745098,0.622301445830858
"102",0.2,0.3,0.03,20,0.72,0.848484848484849,0.470588235294118,0.679691027926322
"103",0.2,0.3,0.03,40,0.653333333333333,0.797979797979798,0.372549019607843,0.607954050306991
"104",0.2,0.3,0.03,60,0.626666666666667,0.777777777777778,0.333333333333333,0.579259259259259
"105",0.2,0.3,0.03,10,0.553333333333333,0.606060606060606,0.450980392156863,0.536791443850267
"106",0.2,0.3,0.03,20,0.58,0.626262626262626,0.490196078431373,0.565486234898
"107",0.2,0.3,0.03,40,0.58,0.626262626262626,0.490196078431373,0.565486234898
"108",0.2,0.3,0.03,60,0.593333333333333,0.636363636363636,0.509803921568627,0.579833630421866
"109",0.2,0.3,0.05,10,0.589403973509934,0.68,0.411764705882353,0.560389559797429
"110",0.2,0.3,0.05,20,0.615894039735099,0.7,0.450980392156863,0.588958143963987
"111",0.2,0.3,0.05,40,0.629139072847682,0.71,0.470588235294118,0.603242436047267
"112",0.2,0.3,0.05,60,0.642384105960265,0.72,0.490196078431373,0.617526728130546
"113",0.2,0.3,0.05,10,0.68,0.818181818181818,0.411764705882353,0.636648841354724
"114",0.2,0.3,0.05,20,0.68,0.818181818181818,0.411764705882353,0.636648841354724
"115",0.2,0.3,0.05,40,0.613333333333333,0.767676767676768,0.313725490196078,0.564911863735393
"116",0.2,0.3,0.05,60,0.68,0.818181818181818,0.411764705882353,0.636648841354724
"117",0.2,0.3,0.05,10,0.566666666666667,0.616161616161616,0.470588235294118,0.551138839374134
"118",0.2,0.3,0.05,20,0.606666666666667,0.646464646464647,0.529411764705882,0.594181025945732
"119",0.2,0.3,0.05,40,0.606666666666667,0.646464646464647,0.529411764705882,0.594181025945732
"120",0.2,0.3,0.05,60,0.593333333333333,0.636363636363636,0.509803921568627,0.579833630421866
"121",0.2,0.3,0.06,10,0.549668874172185,0.65,0.352941176470588,0.517536683547591
"122",0.2,0.3,0.06,20,0.629139072847682,0.71,0.470588235294118,0.603242436047267
